chapter_id,note_kind,status,count
"",endnote,orphan_note,22
toc-visual-14-2-historical-problems-sin,footnote,ambiguous,1
toc-visual-14-2-historical-problems-sin,footnote,orphan_anchor,13
toc-visual-14-3-two-reformers-and-a-worl,footnote,orphan_anchor,5
toc-visual-14-5-witchcraft-and-the-melan,footnote,ambiguous,7
toc-visual-14-5-witchcraft-and-the-melan,footnote,orphan_anchor,7
toc-visual-14-6-court-fools-and-their-fo,footnote,orphan_anchor,1
toc-visual-14-7-pilgrims-in-search-of-th,footnote,orphan_anchor,1
toc-visual-14-8-madness-as-helplessness,footnote,orphan_anchor,1
toc-visual-15-12-1-1-published-cases-of-d,footnote,ambiguous,3
toc-visual-15-12-1-1-published-cases-of-d,footnote,orphan_anchor,4
toc-visual-15-13-2-1-bipartite-and-tripar,footnote,orphan_anchor,8
toc-visual-15-14-3-1-printed-editions-of,endnote,orphan_anchor,8
toc-visual-15-14-3-1-printed-editions-of,footnote,orphan_note,8
toc-visual-15-16-3-3-printed-editions-of,endnote,orphan_anchor,25
toc-visual-15-16-3-3-printed-editions-of,footnote,orphan_note,26
toc-visual-15-18-3-5-medical-dissertation,footnote,orphan_anchor,1
toc-visual-15-20-3-7-titles-containing-th,footnote,ambiguous,1
toc-visual-15-20-3-7-titles-containing-th,footnote,orphan_anchor,3
toc-visual-15-21-5-1-the-publication-hist,footnote,ambiguous,2
toc-visual-15-21-5-1-the-publication-hist,footnote,orphan_anchor,20
toc-visual-15-23-6-2-the-miracles-of-fran,footnote,orphan_anchor,1
toc-visual-15-24-6-3-pilgrimage-shrines-i,footnote,orphan_anchor,4
toc-visual-15-27-6-6-cures-of-madness-in,footnote,ambiguous,2
toc-visual-15-28-6-7-madness-in-the-altot,footnote,orphan_anchor,1
toc-visual-15-29-7-1-hospital-residents-i,footnote,orphan_anchor,4
