chapter_id,note_kind,status,count
"",endnote,orphan_note,6
toc-visual-7-1-introduction-psychologic,endnote,orphan_anchor,26
toc-visual-7-2-1-the-perils-of-imaginat,endnote,orphan_anchor,83
toc-visual-7-3-2-the-revolutionary-scho,endnote,orphan_anchor,94
toc-visual-7-4-3-is-there-a-self-in-thi,endnote,orphan_anchor,107
toc-visual-7-5-4-an-a-priori-self-for-t,endnote,orphan_anchor,137
toc-visual-7-6-5-cousinian-hegemony,endnote,orphan_anchor,168
toc-visual-7-7-6-religious-and-secular,endnote,orphan_anchor,109
toc-visual-7-8-7-a-palpable-self-for-th,endnote,orphan_anchor,149
toc-visual-7-9-epilogue,endnote,orphan_note,460
