chapter_id,note_kind,status,count
toc-visual-600-11-2-la-bombe-sartre,footnote,ambiguous,1
toc-visual-600-11-2-la-bombe-sartre,footnote,orphan_anchor,1
toc-visual-600-19-3-les-fascinations-de-l,footnote,orphan_anchor,2
toc-visual-600-5-1-premiers-passages-du-r,footnote,ambiguous,4
toc-visual-600-5-1-premiers-passages-du-r,footnote,orphan_anchor,6
toc-visual-601-24-4-l-humanisme-dans-les-t,footnote,orphan_anchor,4
toc-visual-601-28-5-l-embellie-des-annees,footnote,ambiguous,1
toc-visual-601-28-5-l-embellie-des-annees,footnote,orphan_anchor,5
toc-visual-601-35-6-polemiques-renouvelees,footnote,ambiguous,3
toc-visual-601-35-6-polemiques-renouvelees,footnote,orphan_anchor,1
toc-visual-601-42-7-dissemination-ou-recom,footnote,ambiguous,1
toc-visual-601-42-7-dissemination-ou-recom,footnote,orphan_anchor,7
toc-visual-601-48-8-mort-et-transfiguratio,footnote,ambiguous,1
toc-visual-601-48-8-mort-et-transfiguratio,footnote,orphan_anchor,10
toc-visual-602-55-9-la-lettre-et-l-esprit,footnote,orphan_anchor,5
toc-visual-602-60-10-le-retour-du-refoule,footnote,orphan_anchor,4
toc-visual-602-68-11-entre-erudition-et-te,footnote,orphan_anchor,2
toc-visual-602-75-12-la-croisee-des-chemin,footnote,ambiguous,3
toc-visual-602-75-12-la-croisee-des-chemin,footnote,orphan_anchor,9
toc-visual-602-81-conclusion,footnote,ambiguous,1
toc-visual-602-81-conclusion,footnote,orphan_anchor,1
