chapter_id,note_kind,status,count
"",endnote,orphan_note,83
toc-visual-3-1-mad-acts-mad-speech-and,footnote,orphan_anchor,150
toc-visual-4-11-11-errors-and-projection,footnote,orphan_anchor,122
toc-visual-4-12-12-punish-but-how,footnote,orphan_anchor,85
toc-visual-4-13-13-life-trials,footnote,ambiguous,1
toc-visual-4-13-13-life-trials,footnote,orphan_anchor,71
toc-visual-4-14-14-distress-and-power,footnote,orphan_anchor,73
toc-visual-4-15-15-madmen-talking,footnote,orphan_anchor,62
toc-visual-4-16-16-madness-multiple,footnote,orphan_anchor,5
toc-visual-4-18-appendices,endnote,orphan_note,9
toc-visual-5-33-conclusion,footnote,ambiguous,7
toc-visual-5-33-conclusion,footnote,orphan_anchor,656
